year	to14	between1564	from65	sum	age_index
1870	1840507	3026359	144444	5011310	8
1880	1875652	3261358	192181	5329191	10
1890	2176849	3580315	252187	6009351	12
1900	2391601	4158669	304145	6854415	13
1910	2645486	4586641	379987	7612114	14
1920	2446309	5095142	445424	7986875	18
1930	2392245	5743266	549598	8685109	23
1941	2420401	6244560	651113	9316074	27
1949	2290090	6221581	693128	9204799	30
1960	2529453	6541330	890261	9961044	35
1970	2173554	6945194	1182248	10300996	54
1980	2341173	6918844	1449446	10709463	62
1990	2130549	6870352	1373922	10374823	64
2001	1694936	6957129	1546250	10198315	91
2011	1447659	6812849	1677120	9937628	116
2016	1421937	6560616	1821284	9803837	128
